Assignment,Lit_eV,Status,Exp_eV,Shift_meV
"FE, XA",3.478,FOUND,3.528,50.0
"DBE, D0XA",3.471,FOUND,3.4703,-0.75
"ABE, A0XA",3.466,WEAK / NOT FOUND,3.4644,-1.56
TES,3.44,WEAK / NOT FOUND,3.4409,0.89
"ABE, Zn",3.455,WEAK / NOT FOUND,3.4821,27.11
Y1,3.45,WEAK / NOT FOUND,3.4554,5.37
Y2,3.41,WEAK / NOT FOUND,3.4326,22.61
"e-A type, Be",3.397,WEAK / NOT FOUND,3.4065,9.52
FE-LO,3.387,WEAK / NOT FOUND,3.3947,7.68
DBE-LO,3.38,WEAK / NOT FOUND,3.3767,-3.33
"DAP type, Be",3.38,WEAK / NOT FOUND,3.3767,-3.34
Y3,3.37,WEAK / NOT FOUND,3.368,-2.03
ABE–LO,3.375,WEAK / NOT FOUND,3.3717,-3.34
ABE-LO,3.364,WEAK / NOT FOUND,3.3614,-2.56
Y4,3.35,WEAK / NOT FOUND,3.3517,1.71
Y5,3.34,WEAK / NOT FOUND,3.3333,-6.74
Y6,3.3,WEAK / NOT FOUND,3.305,4.96
FE-2LO,3.295,WEAK / NOT FOUND,3.2993,4.29
DBE-2LO,3.288,WEAK / NOT FOUND,3.2903,2.3
ABE-2LO,3.283,WEAK / NOT FOUND,3.2837,0.73
UVL,3.28,WEAK / NOT FOUND,3.2797,-0.3
ABE-2LO,3.272,WEAK / NOT FOUND,3.2837,11.73
DBE,3.27,WEAK / NOT FOUND,3.2669,-3.13
UVL,3.26,WEAK / NOT FOUND,3.2797,19.7
UVL,3.175,WEAK / NOT FOUND,3.2797,104.7
Y7,3.21,WEAK / NOT FOUND,3.221,10.98
"Shallow DAP, c-GaN",3.16,WEAK / NOT FOUND,3.154,-5.98
Y8,3.08,WEAK / NOT FOUND,3.0953,15.27
"C, in c-GaN",3.08,WEAK / NOT FOUND,3.13,50.0
"BL, C",3.0,OUT OF RANGE,,
"BL, Fe",2.9,OUT OF RANGE,,
"BL, P",2.9,OUT OF RANGE,,
"BL, undoped",2.88,OUT OF RANGE,,
"BL, Zn",2.88,OUT OF RANGE,,
Y9,2.86,OUT OF RANGE,,
Y10,2.8,OUT OF RANGE,,
"BL, Cd",2.8,OUT OF RANGE,,
"BL, Mg",2.7,OUT OF RANGE,,
"BL, undoped",2.6,OUT OF RANGE,,
Y11,2.68,OUT OF RANGE,,
"GL, As",2.6,OUT OF RANGE,,
"GL, Zn",2.6,OUT OF RANGE,,
"AL, undoped",2.56,OUT OF RANGE,,
"GL3, undoped",2.51,OUT OF RANGE,,
Ca,2.5,OUT OF RANGE,,
Mg-O,2.4,OUT OF RANGE,,
"GL, undoped",2.48,OUT OF RANGE,,
Hg,2.43,OUT OF RANGE,,
GL2,2.36,OUT OF RANGE,,
"YL, undoped, C",2.2,OUT OF RANGE,,
"C, in c-GaN",1.9,OUT OF RANGE,,
"RL, undoped",1.8,OUT OF RANGE,,
RL2,1.85,OUT OF RANGE,,
Zn,1.8,OUT OF RANGE,,
Mg-O,1.7,OUT OF RANGE,,
Undoped,1.66,OUT OF RANGE,,
C,1.64,OUT OF RANGE,,
Fe,1.3,OUT OF RANGE,,
Mn,1.27,OUT OF RANGE,,
"Ti, Cr",1.193,OUT OF RANGE,,
Irradiation induced,0.95,OUT OF RANGE,,
Irradiation induced,0.85,OUT OF RANGE,,
