Assignment,Lit_eV,Status,Exp_eV,Shift_meV,Sigma_meV,Amplitude
"FE, XA",3.478,FOUND,3.4706,-7.41,6.7,8955.7
"DBE, D0XA",3.471,FOUND,3.4706,-0.41,6.7,8955.7
"ABE, A0XA",3.466,FOUND,3.4706,4.59,6.7,8955.7
TES,3.44,FOUND,3.455,15.0,25.3,3218.4
"ABE, Zn",3.455,FOUND,3.47,15.0,6.7,8911.5
Y1,3.45,FOUND,3.465,15.0,11.0,6200.6
Y2,3.41,FOUND,3.425,15.0,127.9,1367.5
"e-A type, Be",3.397,FOUND,3.412,15.0,150.0,1166.6
FE-LO,3.387,FOUND,3.402,15.0,150.0,684.8
DBE-LO,3.38,FOUND,3.395,15.0,150.0,524.3
"DAP type, Be",3.38,FOUND,3.395,15.0,150.0,524.3
Y3,3.37,FOUND,3.3557,-14.35,150.0,473.7
ABE–LO,3.375,FOUND,3.39,15.0,150.0,489.4
ABE-LO,3.364,FOUND,3.349,-15.0,150.0,470.3
Y4,3.35,FOUND,3.335,-15.0,150.0,491.6
Y5,3.34,FOUND,3.325,-15.0,150.0,514.1
Y6,3.3,FOUND,3.285,-15.0,64.1,671.3
FE-2LO,3.295,FOUND,3.28,-15.0,63.0,680.5
DBE-2LO,3.288,FOUND,3.2737,-14.32,63.1,685.0
ABE-2LO,3.283,FOUND,3.2681,-14.93,67.3,678.8
UVL,3.28,FOUND,3.19,-90.0,150.0,522.9
ABE-2LO,3.272,FOUND,3.2681,-3.93,67.3,678.8
DBE,3.27,FOUND,3.2672,-2.78,68.8,675.7
UVL,3.26,FOUND,3.19,-70.0,150.0,522.9
UVL,3.175,FOUND,3.19,15.0,150.0,522.9
Y7,3.21,FOUND,3.225,15.0,150.0,581.9
"Shallow DAP, c-GaN",3.16,FOUND,3.175,15.0,143.9,510.8
Y8,3.08,FOUND,3.095,15.0,150.0,445.0
"C, in c-GaN",3.08,FOUND,3.095,15.0,150.0,445.0
"BL, C",3.0,OUT OF RANGE,,,,
"BL, Fe",2.9,OUT OF RANGE,,,,
"BL, P",2.9,OUT OF RANGE,,,,
"BL, undoped",2.88,OUT OF RANGE,,,,
"BL, Zn",2.88,OUT OF RANGE,,,,
Y9,2.86,OUT OF RANGE,,,,
Y10,2.8,OUT OF RANGE,,,,
"BL, Cd",2.8,OUT OF RANGE,,,,
"BL, Mg",2.7,OUT OF RANGE,,,,
"BL, undoped",2.6,OUT OF RANGE,,,,
Y11,2.68,OUT OF RANGE,,,,
"GL, As",2.6,OUT OF RANGE,,,,
"GL, Zn",2.6,OUT OF RANGE,,,,
"AL, undoped",2.56,OUT OF RANGE,,,,
"GL3, undoped",2.51,OUT OF RANGE,,,,
Ca,2.5,OUT OF RANGE,,,,
Mg-O,2.4,OUT OF RANGE,,,,
"GL, undoped",2.48,OUT OF RANGE,,,,
Hg,2.43,OUT OF RANGE,,,,
GL2,2.36,OUT OF RANGE,,,,
"YL, undoped, C",2.2,OUT OF RANGE,,,,
"C, in c-GaN",1.9,OUT OF RANGE,,,,
"RL, undoped",1.8,OUT OF RANGE,,,,
RL2,1.85,OUT OF RANGE,,,,
Zn,1.8,OUT OF RANGE,,,,
Mg-O,1.7,OUT OF RANGE,,,,
Undoped,1.66,OUT OF RANGE,,,,
C,1.64,OUT OF RANGE,,,,
Fe,1.3,OUT OF RANGE,,,,
Mn,1.27,OUT OF RANGE,,,,
"Ti, Cr",1.193,OUT OF RANGE,,,,
Irradiation induced,0.95,OUT OF RANGE,,,,
Irradiation induced,0.85,OUT OF RANGE,,,,
